Date,Open,High,Low,Close,AdjClose,Volume
12/1/1980,0.513393,0.645089,0.450893,0.609375,0.500417,336212800
1/1/1981,0.616071,0.620536,0.504464,0.504464,0.414265,152247200
2/1/1981,0.477679,0.515625,0.424107,0.473214,0.388602,80404800
3/1/1981,0.475446,0.482143,0.386161,0.4375,0.359274,175179200
4/1/1981,0.435268,0.524554,0.433036,0.506696,0.416098,134232000
5/1/1981,0.506696,0.59375,0.479911,0.591518,0.485753,147604800
6/1/1981,0.591518,0.59375,0.464286,0.464286,0.38127,237641600
7/1/1981,0.462054,0.46875,0.397321,0.446429,0.366606,166857600
8/1/1981,0.446429,0.464286,0.337054,0.359375,0.295118,137155200
9/1/1981,0.381696,0.390625,0.254464,0.272321,0.22363,185920000
10/1/1981,0.272321,0.359375,0.272321,0.357143,0.293285,226044000
11/1/1981,0.357143,0.359375,0.319196,0.332589,0.273122,146669600
12/1/1981,0.332589,0.410714,0.323661,0.395089,0.324447,259280000
1/1/1982,0.395089,0.395089,0.319196,0.363839,0.298784,216053600
2/1/1982,0.363839,0.366071,0.325893,0.325893,0.267622,152101600
3/1/1982,0.328125,0.330357,0.252232,0.301339,0.247459,299919200
4/1/1982,0.316964,0.319196,0.261161,0.263393,0.216298,437399200
5/1/1982,0.272321,0.292411,0.25,0.25,0.205299,310973600
6/1/1982,0.247768,0.252232,0.227679,0.227679,0.186969,200911200
7/1/1982,0.227679,0.258929,0.196429,0.241071,0.197967,354552800
8/1/1982,0.247768,0.323661,0.21875,0.321429,0.263956,539000000
9/1/1982,0.314732,0.339286,0.310268,0.325893,0.267622,415889600
10/1/1982,0.330357,0.477679,0.321429,0.453125,0.372105,944876800
11/1/1982,0.453125,0.607143,0.448661,0.569196,0.467423,788076800
12/1/1982,0.569196,0.622768,0.493304,0.533482,0.438094,681497600
1/1/1983,0.533482,0.75,0.486607,0.729911,0.599401,1144757600
2/1/1983,0.729911,0.868304,0.71875,0.814732,0.669056,788323200
3/1/1983,0.814732,0.84375,0.716518,0.754464,0.619564,662082400
4/1/1983,0.754464,0.941964,0.689732,0.901786,0.740544,834708000
5/1/1983,0.901786,1.089286,0.850446,1.03125,0.84686,521102400
6/1/1983,1.03125,1.129464,0.816964,0.872768,0.716715,701870400
7/1/1983,0.872768,0.888393,0.604911,0.622768,0.511416,774457600
8/1/1983,0.622768,0.665179,0.535714,0.665179,0.546243,765385600
9/1/1983,0.665179,0.709821,0.395089,0.412946,0.339111,1101199600
10/1/1983,0.412946,0.428571,0.319196,0.404018,0.331779,1255469600
11/1/1983,0.404018,0.430804,0.308036,0.363839,0.298784,1030540000
12/1/1983,0.363839,0.450893,0.352679,0.435268,0.357441,664154400
1/1/1984,0.435268,0.526786,0.412946,0.441964,0.36294,1089704000
2/1/1984,0.441964,0.493304,0.399554,0.46875,0.384936,777840000
3/1/1984,0.46875,0.5,0.4375,0.441964,0.36294,491472800
4/1/1984,0.441964,0.560268,0.410714,0.560268,0.460091,804176800
5/1/1984,0.566964,0.613839,0.5,0.524554,0.430762,1328919200
6/1/1984,0.524554,0.549107,0.433036,0.473214,0.388602,793783200
7/1/1984,0.473214,0.493304,0.433036,0.455357,0.373938,708724800
8/1/1984,0.455357,0.551339,0.428571,0.473214,0.388602,1277948000
9/1/1984,0.473214,0.517857,0.439732,0.448661,0.368439,625156000
10/1/1984,0.446429,0.488839,0.401786,0.444196,0.364773,890764000
11/1/1984,0.446429,0.473214,0.390625,0.441964,0.36294,842514400
